stitch_flat_id,stitch_stereo_id,label_umls_id,meddra_concept_type,meddra_umls_id,side_effect_name,sider_version
CID100000159,CID005282411,C0007642,PT,C0007642,Cellulitis,4.1
CID100000159,CID005282411,C0232292,PT,C0235710,Chest discomfort,4.1
CID100000159,CID005282411,C0008031,PT,C0008031,Chest pain,4.1
CID100000159,CID005282411,C0085593,PT,C0085593,Chills,4.1
CID100000159,CID005282411,C0009326,PT,C0009326,Collagen disorder,4.1
CID100000159,CID005282411,C1285577,PT,C0009676,Confusional state,4.1
CID100000159,CID005282411,C0009782,PT,C0009782,Connective tissue disorder,4.1
CID100000159,CID005282411,C0009806,PT,C0009806,Constipation,4.1
CID100000159,CID005282411,C0010200,PT,C0010200,Cough,4.1
CID100000159,CID005282411,C0010520,PT,C0010520,Cyanosis,4.1
CID100000159,CID005282411,C0003123,PT,C0232462,Decreased appetite,4.1
CID100000159,CID005282411,C0011570,PT,C0011570,Depression,4.1
CID100000159,CID005282411,C0015230,PT,C0011603,Dermatitis,4.1
CID100000159,CID005282411,C0860239,PT,C1619702,Device related infection,4.1
CID100000159,CID005282411,C0011991,PT,C0011991,Diarrhoea,4.1
CID100000159,CID005282411,C0012833,PT,C0012833,Dizziness,4.1
CID100000159,CID005282411,C0043352,PT,C0043352,Dry mouth,4.1
CID100000159,CID005282411,C0013395,PT,C0013395,Dyspepsia,4.1
CID100000159,CID005282411,C0013404,PT,C0013404,Dyspnoea,4.1
CID100000159,CID005282411,C0013595,PT,C0013595,Eczema,4.1
CID100000159,CID005282411,C0014130,PT,C0014130,Endocrine disorder,4.1
