stitch_flat_id,drug_name,sider_version,atc_codes
CID100077997,MK-462,4.1,
CID100123809,Madopar,4.1,
CID100064778,Meropenem,4.1,
CID105487068,Mersyndol,4.1,
CID100062819,Metrodin,4.1,G03GA04
CID100160036,MnDPDP,4.1,
CID100000581,N-acetylcysteine,4.1,R05CB01; S01XA08; V03AB23
CID100121396,N-carbamylglutamate,4.1,A16AA05
CID100004120,N-methylscopolamine,4.1,A03BB03; S01FA03
CID100054949,NSC,4.1,
CID100115355,NTBC,4.1,A16AX04
CID125077405,Nafarelin,4.1,H01CA02
CID116132418,NovoLog,4.1,A10AB05; A10AD05
CID100208920,NuvaRing,4.1,
CID116129632,Nuvocid,4.1,J01XA05
CID100054373,Octreotide,4.1,H01CB02
CID100000699,Oestrogen,4.1,
CID100006432,Optison,4.1,
CID116130957,Org,4.1,H01CC01
CID116126651,PCI-32765,4.1,
CID106918670,PEP005,4.1,
CID100000214,PGE1,4.1,C01EA01; G04BE01
CID100000158,PGE2,4.1,G02AD02
CID105360237,Paroven,4.1,
CID100057166,Photofrin,4.1,
CID103086257,Photofrin,4.1,L01XD01
CID100192155,Prednefrin,4.1,
CID144564722,Promacta,4.1,
CID100032281,Protirelin,4.1,H01AB01; V04CJ01; V04CJ02
CID100025959,Prussian,4.1,V03AB31
CID116132441,Refludan,4.1,B01AE02
CID116129703,Revasc,4.1,B01AE01
CID100003425,Romidepsin,4.1,L01XX39
CID100185457,S-benzoylmercaptoacetyltriglycine,4.1,
CID109941444,SOM230,4.1,
CID100123015,SU5416,4.1,B02BX04
CID106453361,Sativex,4.1,
CID111235728,Saxagliptin,4.1,A10BH03
CID146181941,Signifor,4.1,
CID100017358,SonoVue,4.1,V08DA05
CID109831783,Stalevo,4.1,
CID100042615,Supremon,4.1,L02AE01
CID116132446,Symlin,4.1,A10BX05
CID116129701,T-A2-3,4.1,
CID100656892,TMC207,4.1,
CID116065945,TMC435,4.1,
CID100071406,TPGS,4.1,A11HA08
CID111234049,TR-700,4.1,
CID100012620,Tadenan,4.1,D06BB11
CID100072081,Terlipressin,4.1,H01BA04
CID106437075,Timentin,4.1,
CID100024642,TlCl,4.1,
CID100024706,Triphasil,4.1,
CID125074470,Triptorelin,4.1,L02AE04
CID100123634,Trisequens,4.1,
CID100005645,UDCA,4.1,A05AA01; A05AA02
CID100005647,VACV,4.1,J05AB11
CID100078032,Vallergan,4.1,
CID100005651,Vancocine,4.1,A07AA09; J01XA01
CID116129665,Vitrum,4.1,V04CK01
CID100042395,Westcort,4.1,
CID100005727,ZnCl2,4.1,B05XA12
CID111505907,Zyprexa,4.1,
CID100001971,abacavir,4.1,J05AF06
CID105273759,abacavir-lamivudine,4.1,
CID100132971,abiraterone,4.1,
CID100071158,acamprosate,4.1,N07BB03
CID100041774,acarbose,4.1,A10BF01
CID100001978,acebutolol,4.1,C07AB04
CID140468184,acenocoumarol,4.1,B01AA07
CID100001983,acetaminophen,4.1,N02BE01
CID100000175,acetate,4.1,G01AD02; S02AA10
CID100001986,acetazolamide,4.1,S01EC01
CID100001990,acetohydroxamic,4.1,G04BX03
CID100000187,acetylcholine,4.1,S01EB09
CID105310993,acipimox,4.1,C10AD06
CID100041317,acitretin,4.1,D05BB02
CID111228026,aclidinium,4.1,
CID100002019,actinomycin,4.1,L01DA01
CID100002022,acyclovir,4.1,D06BB03; J05AB01; S01AD03
CID100060164,adapalene,4.1,D10AD03
CID100060172,adefovir,4.1,
CID100060871,adefovir,4.1,J05AF08
CID100000191,adenosine,4.1,C01EB10; J05AB03; S01AD06
CID110163178,afatinib,4.1,
CID100082148,agomelatine,4.1,N06AX22
CID100002082,albendazole,4.1,P02CA03
CID119371515,alcaftadine,4.1,
CID104630253,alclometasone,4.1,D07AB10; S01BA10
CID100002088,alendronate,4.1,M05BA04
CID100051263,alfentanil,4.1,N01AH02
CID100002092,alfuzosin,4.1,G04CA01
CID100216209,aliskiren,4.1,C09XA02
