stitch_flat_id,stitch_stereo_id,label_umls_id,meddra_concept_type,meddra_umls_id,side_effect_name,sider_version,candidate_name
CID100005291,CID000005291,C0018926,PT,C0018926,Haematemesis,4.1,imatinib
CID100005291,CID000005291,C1321898,PT,C0018932,Haematochezia,4.1,imatinib
CID100005291,CID000005291,C0376545,PT,C0376545,Haematological malignancy,4.1,imatinib
CID100005291,CID000005291,C0018944,PT,C0018944,Haematoma,4.1,imatinib
CID100005291,CID000005291,C0018965,PT,C0018965,Haematuria,4.1,imatinib
CID100005291,CID000005291,C0019080,PT,C0518015,Haemoglobin,4.1,imatinib
CID100005291,CID000005291,C0162119,PT,C0162119,Haemoglobin decreased,4.1,imatinib
CID100005291,CID000005291,C0002878,PT,C0002878,Haemolytic anaemia,4.1,imatinib
CID100005291,CID000005291,C0019080,PT,C0019080,Haemorrhage,4.1,imatinib
CID100005291,CID000005291,C0473311,PT,C0473311,Haemorrhagic ovarian cyst,4.1,imatinib
CID100005291,CID000005291,C0018681,PT,C0018681,Headache,4.1,imatinib
CID100005291,CID000005291,C1384666,PT,C1384666,Hearing impaired,4.1,imatinib
CID100005291,CID000005291,C0085605,PT,C0085605,Hepatic failure,4.1,imatinib
CID100005291,CID000005291,C0151798,PT,C0151798,Hepatic necrosis,4.1,imatinib
CID100005291,CID000005291,C0019158,PT,C0019158,Hepatitis,4.1,imatinib
CID100005291,CID000005291,C0149904,PT,C0149904,Hepatitis cholestatic,4.1,imatinib
CID100005291,CID000005291,C0267792,PT,C0267792,Hepatobiliary disease,4.1,imatinib
CID100005291,CID000005291,C0235378,PT,C0235378,Hepatotoxicity,4.1,imatinib
CID100005291,CID000005291,C0019348,PT,C0019348,Herpes simplex,4.1,imatinib
CID100005291,CID000005291,C0019360,PT,C0019360,Herpes zoster,4.1,imatinib
CID100005291,CID000005291,C0240515,PT,C0020453,Hyperaesthesia,4.1,imatinib
CID100005291,CID000005291,C0020433,PT,C0020433,Hyperbilirubinaemia,4.1,imatinib
CID100005291,CID000005291,C0020437,PT,C0020437,Hypercalcaemia,4.1,imatinib
CID100005291,CID000005291,C0020456,PT,C0020456,Hyperglycaemia,4.1,imatinib
CID100005291,CID000005291,C0038990,PT,C0020458,Hyperhidrosis,4.1,imatinib
CID100005291,CID000005291,C0020461,PT,C0020461,Hyperkalaemia,4.1,imatinib
CID100005291,CID000005291,C0020517,PT,C0020517,Hypersensitivity,4.1,imatinib
CID100005291,CID000005291,C0020538,PT,C0020538,Hypertension,4.1,imatinib
CID100005291,CID000005291,C0740394,PT,C0740394,Hyperuricaemia,4.1,imatinib
CID100005291,CID000005291,C0020580,PT,C0020580,Hypoaesthesia,4.1,imatinib
CID100005291,CID000005291,C0239981,PT,C0239981,Hypoalbuminaemia,4.1,imatinib
CID100005291,CID000005291,C0020598,PT,C0020598,Hypocalcaemia,4.1,imatinib
CID100005291,CID000005291,C0020615,PT,C0020615,Hypoglycaemia,4.1,imatinib
CID100005291,CID000005291,C0020621,PT,C0020621,Hypokalaemia,4.1,imatinib
CID100005291,CID000005291,C0151723,PT,C0151723,Hypomagnesaemia,4.1,imatinib
CID100005291,CID000005291,C0020625,PT,C0020625,Hyponatraemia,4.1,imatinib
CID100005291,CID000005291,C0085682,PT,C0085682,Hypophosphataemia,4.1,imatinib
CID100005291,CID000005291,C0020639,PT,C0020639,Hypoproteinaemia,4.1,imatinib
CID100005291,CID000005291,C0020649,PT,C0020649,Hypotension,4.1,imatinib
CID100005291,CID000005291,C0020678,PT,C0020678,Hypotrichosis,4.1,imatinib
CID100005291,CID000005291,C0242184,PT,C0242184,Hypoxia,4.1,imatinib
CID100005291,CID000005291,C1258215,PT,C1258215,Ileus,4.1,imatinib
CID100005291,CID000005291,C0231218,PT,C2047937,Ill-defined disorder,4.1,imatinib
CID100005291,CID000005291,C0021053,PT,C0021053,Immune system disorder,4.1,imatinib
