drug_id,drug_name,drug_type,max_stage,n_interactome_targets_hit,targets_hit,moa,moa_n_targets,hits_first_shell,hits_eef1a_seed
CHEMBL856,PRIMIDONE,Small molecule,APPROVAL,1,SCN1A,GABA-A receptor; anion channel positive allosteric modulator; Sodium channel alpha subunit blocker,26,True,False
CHEMBL83,TAMOXIFEN,Small molecule,APPROVAL,1,ESR1,Estrogen receptor alpha modulator,1,True,False
CHEMBL81,RALOXIFENE,Small molecule,APPROVAL,1,ESR1,Estrogen receptor beta modulator; Estrogen receptor modulator,2,True,False
CHEMBL803,CYTARABINE,Small molecule,APPROVAL,1,POLE2,DNA polymerase (alpha/delta/epsilon) inhibitor,11,True,False
CHEMBL79,LIDOCAINE,Small molecule,APPROVAL,1,SCN1A,Sodium channel alpha subunit blocker,10,True,False
CHEMBL786,TAMOXIFEN CITRATE,Small molecule,APPROVAL,1,ESR1,Estrogen receptor alpha modulator,1,True,False
CHEMBL750,ZONISAMIDE,Small molecule,APPROVAL,1,SCN1A,Sodium channel alpha subunit blocker,10,True,False
CHEMBL744,RILUZOLE,Small molecule,APPROVAL,1,SCN1A,Sodium channel alpha subunit blocker,10,True,False
CHEMBL741,LAMOTRIGINE,Small molecule,APPROVAL,1,SCN1A,Sodium channel alpha subunit blocker,10,True,False
CHEMBL698,TETRACAINE,Small molecule,APPROVAL,1,SCN1A,Sodium channel alpha subunit blocker,10,True,False
CHEMBL691,ETHINYL ESTRADIOL,Small molecule,APPROVAL,1,ESR1,Estrogen receptor alpha agonist,1,True,False
CHEMBL68055,ACOLBIFENE,Small molecule,PHASE_3,1,ESR1,Estrogen receptor modulator,2,True,False
CHEMBL640,PROCAINAMIDE,Small molecule,APPROVAL,1,SCN1A,Sodium channel alpha subunit blocker,10,True,False
CHEMBL5314407,ARQ-736,Small molecule,PHASE_1,1,RAF1,Serine/threonine-protein kinase B-raf inhibitor; Serine/threonine-protein kinase RAF inhibitor,2,True,False
CHEMBL529437,COCAINE HYDROCHLORIDE,Small molecule,APPROVAL,1,SCN1A,Sodium channel alpha subunit blocker,10,True,False
CHEMBL4442620,RONICICLIB,Small molecule,PHASE_2,1,CDK2,Cyclin-dependent kinase inhibitor,20,True,False
CHEMBL4594456,CADONILIMAB,Antibody,PHASE_3,1,PDCD1,Cytotoxic T-lymphocyte protein 4 inhibitor; Programmed cell death protein 1 inhibitor,2,True,False
CHEMBL4594612,BEPRANEMAB,Antibody,PHASE_2,1,MAPT,Microtubule-associated protein tau inhibitor,1,True,False
CHEMBL4594602,LOMVASTOMIG,Antibody,PHASE_2,1,PDCD1,Hepatitis A virus cellular receptor 2 inhibitor; Programmed cell death protein 1 inhibitor,2,True,False
CHEMBL4594578,TEBOTELIMAB,Antibody,PHASE_2_3,1,PDCD1,Lymphocyte activation gene 3 protein inhibitor; Programmed cell death protein 1 inhibitor,2,True,False
CHEMBL4594550,SERPLULIMAB,Antibody,APPROVAL,1,PDCD1,Programmed cell death protein 1 antagonist,1,True,False
CHEMBL4594549,PIMURUTAMAB,Antibody,PHASE_2_3,1,EGFR,Epidermal growth factor receptor erbB1 inhibitor,1,True,False
CHEMBL4594536,CS-1003,Unknown,PHASE_3,1,PDCD1,Programmed cell death protein 1 inhibitor,1,True,False
CHEMBL4594515,LOSATUXIZUMAB VEDOTIN,Antibody drug conjugate,PHASE_1,1,EGFR,Epidermal growth factor receptor binding agent; Tubulin inhibitor,16,True,False
CHEMBL4594511,VUTRISIRAN,Oligonucleotide,APPROVAL,1,TTR,Transthyretin mRNA rnai inhibitor,1,True,False
CHEMBL4594492,REVUSIRAN,Oligonucleotide,PHASE_3,1,TTR,Transthyretin mRNA RNAi inhibitor,1,True,False
CHEMBL4594472,BAFISONTAMAB,Antibody,PHASE_2,1,EGFR,Epidermal growth factor receptor erbB1 inhibitor; Hepatocyte growth factor receptor inhibitor,2,True,False
CHEMBL4594355,APL-501,Unknown,PHASE_2,1,PDCD1,Programmed cell death protein 1 inhibitor,1,True,False
CHEMBL517,DISOPYRAMIDE,Small molecule,APPROVAL,1,SCN1A,Sodium channel alpha subunit blocker,10,True,False
CHEMBL4594350,ADAGRASIB,Small molecule,APPROVAL,1,KRAS,GTPase KRas inhibitor,1,True,False
CHEMBL4594335,EPLONTERSEN SODIUM,Oligonucleotide,APPROVAL,1,TTR,Transthyretin mRNA antisense inhibitor,1,True,False
CHEMBL4594334,EPLONTERSEN,Oligonucleotide,APPROVAL,1,TTR,Transthyretin mRNA antisense inhibitor,1,True,False
CHEMBL4594273,ELACESTRANT HYDROCHLORIDE,Small molecule,APPROVAL,1,ESR1,Estrogen receptor alpha degrader,1,True,False
CHEMBL4583691,NAPORAFENIB,Small molecule,PHASE_3,1,RAF1,B-raf/RAF proto-oncogene serine/threonine-protein kinase inhibitor,2,True,False
CHEMBL4558324,LAZERTINIB,Small molecule,APPROVAL,1,EGFR,Epidermal growth factor receptor erbB1 inhibitor,1,True,False
CHEMBL4535757,SOTORASIB,Small molecule,APPROVAL,1,KRAS,GTPase KRas inhibitor,1,True,False
CHEMBL3545235,SIMOTINIB,Small molecule,PHASE_1,1,EGFR,Epidermal growth factor receptor erbB1 inhibitor,1,True,False
CHEMBL4466233,PEMRAMETOSTAT,Small molecule,PHASE_2,1,PRMT5,Protein arginine N-methyltransferase 5 inhibitor,1,True,False
CHEMBL445813,AT-7519,Small molecule,PHASE_2,1,CDK2,Cyclin-dependent kinase inhibitor,20,True,False
CHEMBL4650226,ACORAMIDIS HYDROCHLORIDE,Small molecule,APPROVAL,1,TTR,Transthyretin stabiliser,1,True,False
CHEMBL4650279,TUXOBERTINIB,Small molecule,PHASE_1_2,1,EGFR,Epidermal growth factor receptor erbB1 negative allosteric modulator; Receptor protein-tyrosine kinase erbB-2 negative allosteric modulator,2,True,False
CHEMBL4650281,CLN-081,Small molecule,PHASE_3,1,EGFR,Epidermal growth factor receptor erbB1 inhibitor,1,True,False
CHEMBL4650289,KBP5209,Unknown,PHASE_1,1,EGFR,Epidermal growth factor receptor inhibitor,4,True,False
CHEMBL514201,TALMAPIMOD,Small molecule,PHASE_2,1,MAPK14,MAP kinase p38 alpha inhibitor,1,True,False
CHEMBL5095303,VUTRISIRAN SODIUM,Oligonucleotide,APPROVAL,1,TTR,Transthyretin mRNA rnai inhibitor,1,True,False
CHEMBL494089,GSK-690693,Small molecule,PHASE_1,1,PRKCD,Protein kinase C (PKC) inhibitor; Serine/threonine-protein kinase AKT inhibitor; cAMP-dependent protein kinase (PKA) inhibitor,17,True,False
CHEMBL492,ETIDOCAINE,Small molecule,APPROVAL,1,SCN1A,Sodium channel alpha subunit blocker,10,True,False
CHEMBL489,AFIMOXIFENE,Small molecule,PHASE_2,1,ESR1,Estrogen receptor modulator; Estrogen-related receptor gamma antagonist,3,True,False
CHEMBL488436,AZD-5438,Small molecule,PHASE_1,1,CDK2,Cyclin-dependent kinase inhibitor,20,True,False
CHEMBL487,DROLOXIFENE,Small molecule,PHASE_2,1,ESR1,Estrogen receptor modulator,2,True,False
