drug_id,drug_name,drug_type,max_stage,n_interactome_targets_hit,targets_hit,moa,moa_n_targets,hits_first_shell,hits_eef1a_seed,n_indications,inds_score,on_score,se_score_undefined,composite_score_variantA,pathway_score_raw,pathway_score,composite_score_variantB,rank_variantA,rank_variantB,rank_shift_B_vs_A
CHEMBL363648,TAK-715,Small molecule,PHASE_2,1,MAPK14,MAP kinase p38 alpha inhibitor,1,True,False,1.0,0.008,0.0,0.0,0.0040160642570281,4.341759469228055,0.4512160711533427,0.284929860208225,368,31,337
CHEMBL5314397,ACUMAPIMOD,Small molecule,PHASE_2,1,MAPK14,MAP kinase p38 alpha inhibitor,1,True,False,1.0,0.008,0.0,0.0,0.0040160642570281,4.341759469228055,0.4512160711533427,0.284929860208225,368,32,336
CHEMBL3545216,FX-005,Unknown,PHASE_2_3,1,MAPK14,MAP kinase p38 alpha inhibitor,1,True,False,1.0,0.008,0.0,0.0,0.0040160642570281,4.341759469228055,0.4512160711533427,0.284929860208225,368,33,335
CHEMBL3545398,PG-760564,Unknown,PHASE_2,1,MAPK14,MAP kinase p38 alpha inhibitor,1,True,False,1.0,0.008,0.0,0.0,0.0040160642570281,4.341759469228055,0.4512160711533427,0.284929860208225,368,34,334
CHEMBL2107779,SEMAPIMOD,Small molecule,PHASE_2,1,MAPK14,MAP kinase p38 alpha inhibitor,1,True,False,1.0,0.008,0.0,0.0,0.0040160642570281,4.341759469228055,0.4512160711533427,0.284929860208225,368,35,333
CHEMBL1090090,VX-702,Small molecule,PHASE_2,1,MAPK14,MAP kinase p38 alpha inhibitor,1,True,False,1.0,0.008,0.0,0.0,0.0040160642570281,4.341759469228055,0.4512160711533427,0.284929860208225,368,36,332
CHEMBL190333,RWJ-67657,Small molecule,PHASE_1,1,MAPK14,MAP kinase p38 alpha inhibitor; MAP kinase p38 beta inhibitor,2,True,False,0.0,0.0,0.0128205128205128,0.0,0.0064516129032258,4.341759469228055,0.4512160711533427,0.2813153262911656,341,37,304
CHEMBL514201,TALMAPIMOD,Small molecule,PHASE_2,1,MAPK14,MAP kinase p38 alpha inhibitor,1,True,False,2.0,0.016,0.0,0.0,0.0080645161290322,4.341759469228055,0.4512160711533427,0.2790274675161165,302,38,264
CHEMBL1938400,PF-03715455,Small molecule,PHASE_2,1,MAPK14,MAP kinase p38 alpha inhibitor,1,True,False,2.0,0.016,0.0,0.0,0.0080645161290322,4.341759469228055,0.4512160711533427,0.2790274675161165,302,39,263
CHEMBL3402567,ITX-5061,Small molecule,PHASE_2,1,MAPK14,MAP kinase p38 alpha inhibitor,1,True,False,2.0,0.016,0.0,0.0,0.0080645161290322,4.341759469228055,0.4512160711533427,0.2790274675161165,302,40,262
CHEMBL103667,DORAMAPIMOD,Small molecule,PHASE_2,1,MAPK14,MAP kinase p38 alpha inhibitor,1,True,False,2.0,0.016,0.0,0.0,0.0080645161290322,4.341759469228055,0.4512160711533427,0.2790274675161165,302,41,261
CHEMBL1201577,CETUXIMAB,Antibody,APPROVAL,1,EGFR,Epidermal growth factor receptor erbB1 inhibitor,1,True,False,54.0,0.432,0.0,0.0,0.2755102040816326,2.09861228866811,0.0,0.2755102040816326,18,42,-24
CHEMBL3991932,PEXMETINIB,Small molecule,PHASE_1_2,1,MAPK14,MAP kinase p38 alpha inhibitor; Tyrosine-protein kinase TIE-2 inhibitor,2,True,False,1.0,0.008,0.0128205128205128,0.0,0.0055143897656746,4.341759469228055,0.4512160711533427,0.275345656790328,352,43,309
CHEMBL1743052,OPORTUZUMAB MONATOX,Antibody drug conjugate,APPROVAL,1,EEF2,Elongation factor 2 inhibitor; Epithelial cell adhesion molecule binding agent,2,True,False,2.0,0.016,0.0128205128205128,0.0,0.0073463946117492,4.368294361119891,0.4565536476492925,0.27413733911171595,332,44,288
CHEMBL1230065,BMS-582949,Small molecule,PHASE_2,1,MAPK14,MAP kinase p38 alpha inhibitor,1,True,False,3.0,0.024,0.0,0.0,0.0121457489878542,4.341759469228055,0.4512160711533427,0.27359350400888705,266,45,221
CHEMBL9960,AZD-7624,Small molecule,PHASE_2,1,MAPK14,MAP kinase p38 alpha inhibitor,1,True,False,3.0,0.024,0.0,0.0,0.0121457489878542,4.341759469228055,0.4512160711533427,0.27359350400888705,266,46,220
CHEMBL2095222,OCRIPLASMIN,Protein,APPROVAL,1,LAMA4,Collagen hydrolytic enzyme; Fibronectin proteolytic enzyme; Laminin hydrolytic enzyme,38,True,False,8.0,0.064,0.4743589743589743,0.0,0.2703055056475666,2.09861228866811,0.0,0.27030550564756656,19,47,-28
CHEMBL553,ERLOTINIB,Small molecule,APPROVAL,1,EGFR,Epidermal growth factor receptor erbB1 inhibitor,1,True,False,53.0,0.424,0.0,0.0,0.2690355329949239,2.09861228866811,0.0,0.2690355329949239,20,48,-28
CHEMBL220492,TOPIRAMATE,Small molecule,APPROVAL,1,SCN1A,Carbonic anhydrase II inhibitor; Carbonic anhydrase IV inhibitor; GABA-A receptor; anion channel positive modulator; Glutamate receptor ionotropic AMPA antagonist; Glutamate receptor ionotropic kainate antagonist; Sodium channel alpha subunit blocker,37,True,False,47.0,0.376,0.4615384615384615,0.0,0.2683412336136448,2.09861228866811,0.0,0.26834123361364487,21,49,-28
CHEMBL2109367,LMB-2,Unknown,PHASE_2,1,EEF2,Elongation factor 2 inhibitor; Interleukin-2 receptor alpha chain binding agent,2,True,False,4.0,0.032,0.0128205128205128,0.0,0.0134350459075431,4.368294361119891,0.4565536476492925,0.2643104908015008,254,50,204
CHEMBL4297777,LMB-100,Unknown,PHASE_2,1,EEF2,Elongation factor 2 disrupting agent; Mesothelin binding agent,2,True,False,4.0,0.032,0.0128205128205128,0.0,0.0134350459075431,4.368294361119891,0.4565536476492925,0.2643104908015008,254,51,203
CHEMBL1088750,ARRY-797,Small molecule,PHASE_3,1,MAPK14,MAP kinase p38 alpha inhibitor,1,True,False,5.0,0.04,0.0,0.0,0.0204081632653061,4.341759469228055,0.4512160711533427,0.2640071872810363,216,52,164
CHEMBL2364626,RALIMETINIB,Small molecule,PHASE_2,1,MAPK14,MAP kinase p38 alpha inhibitor,1,True,False,5.0,0.04,0.0,0.0,0.0204081632653061,4.341759469228055,0.4512160711533427,0.2640071872810363,216,53,163
CHEMBL119385,NEFLAMAPIMOD,Small molecule,PHASE_2,1,MAPK14,MAP kinase p38 alpha inhibitor,1,True,False,5.0,0.04,0.0,0.0,0.0204081632653061,4.341759469228055,0.4512160711533427,0.2640071872810363,216,54,162
CHEMBL2103838,DILMAPIMOD,Small molecule,PHASE_2,1,MAPK14,MAP kinase p38 alpha inhibitor,1,True,False,5.0,0.04,0.0,0.0,0.0204081632653061,4.341759469228055,0.4512160711533427,0.2640071872810363,216,55,161
CHEMBL1088751,PH-797804,Small molecule,PHASE_2,1,MAPK14,MAP kinase p38 alpha inhibitor,1,True,False,5.0,0.04,0.0,0.0,0.0204081632653061,4.341759469228055,0.4512160711533427,0.2640071872810363,216,56,160
CHEMBL4297555,RESIMMUNE,Unknown,PHASE_2,1,EEF2,Elongation factor 2 inhibitor; T-cell surface glycoprotein CD3 epsilon chain binding agent,2,True,False,5.0,0.04,0.0128205128205128,0.0,0.0169851971310738,4.368294361119891,0.4565536476492925,0.25998081852325783,227,57,170
CHEMBL2109503,LMB-9,Unknown,PHASE_1,1,EEF2,Elongation factor 2 inhibitor,1,True,False,8.0,0.064,0.0,0.0,0.0330578512396694,4.368294361119891,0.4565536476492925,0.25651087687010443,181,58,123
CHEMBL3545432,IXAZOMIB CITRATE,Small molecule,APPROVAL,3,PSMD11;PSMD2;PSMD3,26S proteasome inhibitor,38,True,False,14.0,0.112,0.4743589743589743,0.0,0.2540325383318719,2.09861228866811,0.0,0.2540325383318718,22,59,-37
CHEMBL1184904,RETASPIMYCIN,Small molecule,PHASE_2,1,HSP90AB1,Heat shock protein HSP90 inhibitor,2,True,False,0.0,0.0,0.0128205128205128,0.0,0.0064516129032258,4.171294361119891,0.4169264815018534,0.2538170184128466,341,60,281
CHEMBL4297573,TAGRAXOFUSP,Protein,APPROVAL,1,EEF2,Elongation factor 2 inhibitor; Interleukin-3 receptor subunit alpha binding agent,2,True,False,7.0,0.056,0.0128205128205128,0.0,0.0245671381004057,4.368294361119891,0.4565536476492925,0.2523717547499832,201,61,140
CHEMBL1743043,MOXETUMOMAB PASUDOTOX,Antibody drug conjugate,APPROVAL,1,EEF2,CD22 binding agent; Elongation factor 2 inhibitor,2,True,False,7.0,0.056,0.0128205128205128,0.0,0.0245671381004057,4.368294361119891,0.4565536476492925,0.2523717547499832,201,62,139
CHEMBL135,ESTRADIOL,Small molecule,APPROVAL,1,ESR1,Estrogen receptor alpha agonist,1,True,False,50.0,0.4,0.0,0.0,0.25,2.09861228866811,0.0,0.25000000000000006,23,63,-40
CHEMBL383824,ALVESPIMYCIN,Small molecule,PHASE_2,1,HSP90AB1,Heat shock protein HSP90 inhibitor,2,True,False,1.0,0.008,0.0128205128205128,0.0,0.0055143897656746,4.171294361119891,0.4169264815018534,0.24814177927457293,352,64,288
CHEMBL2141296,IXAZOMIB,Small molecule,APPROVAL,3,PSMD11;PSMD2;PSMD3,26S proteasome inhibitor,38,True,False,19.0,0.152,0.4743589743589743,0.0,0.2469849203793638,2.09861228866811,0.0,0.24698492037936381,24,65,-41
CHEMBL451887,CARFILZOMIB,Protein,APPROVAL,3,PSMD11;PSMD2;PSMD3,26S proteasome inhibitor,38,True,False,29.0,0.232,0.4743589743589743,0.0,0.2459176000615497,2.09861228866811,0.0,0.2459176000615497,25,66,-41
CHEMBL5315122,BORTEZOMIB D-MANNITOL,Small molecule,APPROVAL,3,PSMD11;PSMD2;PSMD3,26S proteasome inhibitor,38,True,False,23.0,0.184,0.4743589743589743,0.0,0.2447166751462258,2.09861228866811,0.0,0.24471667514622572,26,67,-41
CHEMBL4297840,TISLELIZUMAB,Antibody,APPROVAL,1,PDCD1,Programmed cell death protein 1 inhibitor,1,True,False,49.0,0.392,0.0,0.0,0.2437810945273632,2.09861228866811,0.0,0.2437810945273632,27,68,-41
CHEMBL2108583,CINTREDEKIN BESUDOTOX,Protein,PHASE_3,1,EEF2,Elongation factor 2 inhibitor; Interleukin 13 receptor binding agent; Interleukin-13 receptor subunit alpha-2 binding agent,4,True,False,7.0,0.056,0.0384615384615384,0.0,0.02504120968732,4.368294361119891,0.4565536476492925,0.23966568121059056,194,69,125
CHEMBL539770,TERODILINE HYDROCHLORIDE,Small molecule,APPROVAL,1,CHRM4,Muscarinic acetylcholine receptor antagonist; Voltage-gated calcium channel blocker,31,True,False,0.0,0.0,0.3846153846153846,0.0,0.238095238095238,2.09861228866811,0.0,0.23809523809523808,28,70,-42
CHEMBL1200485,SORAFENIB TOSYLATE,Small molecule,APPROVAL,1,RAF1,Platelet-derived growth factor receptor beta inhibitor; Serine/threonine-protein kinase B-raf inhibitor; Serine/threonine-protein kinase RAF inhibitor; Stem cell growth factor receptor inhibitor; Tyrosine-protein kinase receptor FLT3 inhibitor; Tyrosine-protein kinase receptor RET inhibitor; Vascular endothelial growth factor receptor inhibitor,9,True,False,56.0,0.448,0.1025641025641025,0.0,0.237355043778604,2.09861228866811,0.0,0.23735504377860403,29,71,-42
CHEMBL1088752,LOSMAPIMOD,Small molecule,PHASE_3,1,MAPK14,MAP kinase p38 alpha inhibitor; MAP kinase p38 beta inhibitor,2,True,False,11.0,0.088,0.0128205128205128,0.0,0.0408210239059515,4.341759469228055,0.4512160711533427,0.23696133486778279,175,72,103
CHEMBL1195136,SNX 5422,Small molecule,PHASE_2,1,HSP90AB1,Heat shock protein HSP90 inhibitor,2,True,False,4.0,0.032,0.0128205128205128,0.0,0.0134350459075431,4.171294361119891,0.4169264815018534,0.23382928075272785,254,73,181
CHEMBL4297715,CAMRELIZUMAB,Antibody,APPROVAL,1,PDCD1,Programmed cell death protein 1 antagonist,1,True,False,47.0,0.376,0.0,0.0,0.2315270935960591,2.09861228866811,0.0,0.2315270935960591,30,74,-44
CHEMBL467399,BIIB021,Small molecule,PHASE_2,1,HSP90AB1,Heat shock protein HSP90 inhibitor,2,True,False,5.0,0.04,0.0128205128205128,0.0,0.0169851971310738,4.171294361119891,0.4169264815018534,0.22986204006526614,227,75,152
CHEMBL1214827,ONALESPIB,Small molecule,PHASE_2,1,HSP90AB1,Heat shock protein HSP90 inhibitor,2,True,False,5.0,0.04,0.0128205128205128,0.0,0.0169851971310738,4.171294361119891,0.4169264815018534,0.22986204006526614,227,76,151
CHEMBL363295,TERODILINE,Small molecule,APPROVAL,1,CHRM4,Muscarinic acetylcholine receptor antagonist; Voltage-gated calcium channel blocker,31,True,False,2.0,0.016,0.3846153846153846,0.0,0.2269136402410277,2.09861228866811,0.0,0.2269136402410277,31,77,-46
CHEMBL109480,TANESPIMYCIN,Small molecule,PHASE_3,1,HSP90AB1,Heat shock protein HSP90 inhibitor,2,True,False,37.0,0.296,0.0128205128205128,0.0,0.1656668859577764,4.171294361119891,0.4169264815018534,0.21985977770220483,45,78,-33
CHEMBL1079742,ERLOTINIB HYDROCHLORIDE,Small molecule,APPROVAL,1,EGFR,Epidermal growth factor receptor erbB1 inhibitor,1,True,False,45.0,0.36,0.0,0.0,0.2195121951219512,2.09861228866811,0.0,0.2195121951219512,32,79,-47
CHEMBL1201550,DENILEUKIN DIFTITOX,Protein,APPROVAL,1,EEF2,Elongation factor 2 inhibitor; Interleukin-2 receptor binding agent,4,True,False,20.0,0.16,0.0384615384615384,0.0,0.0732181826326803,4.368294361119891,0.4565536476492925,0.2191887987999373,87,80,7
CHEMBL377559,RETASPIMYCIN HYDROCHLORIDE,Small molecule,PHASE_3,1,HSP90AB1,Heat shock protein HSP90 inhibitor,2,True,False,9.0,0.072,0.0128205128205128,0.0,0.0325538922188277,4.171294361119891,0.4169264815018534,0.21736280328886023,182,81,101
